"Integration", "Integracja"
"Synerise Integration", "Integracja Synerise"
"API key", "Klucz API"
"Endpoint URL", "Adres API"
"Tracking codes", "Kody śledzące"
"You'll find your API key in <a href='https://app.synerise.com/setting/api' target='_blank'>profile settings</a> under API section.", "Klucz API znajdziesz w <a href='https://app.synerise.com/setting/api' target='_blank'>panelu Synerise</a> w ustawieniach profilu w sekcji API."
"Use default setting.", "Pozostaw wartość domyślną."
"Get your tracking code automatically through API", "Pobierz kod automatycznie poprzez API"
"Invalid endpoint url", "Nieprawidłowy adres API."
"Invalid API key", "Nieprawidłowy klucz API."
"Tracking code was updated successfully", "Pomyślnie zaktualizowano kod śledzący"
"Error: No API response", "Wystąpił Błąd. Nie otrzymano odpowiedzi API."
"Open graph tags are mandatory. Disable only if you are using another implementation.","Tagi Open Graph są wymagane. Wyłacz tylko, jeśli korzystasz z innej implementacji."
"Missing cart arguments.","Brakujące parametry."
"Missing Api Key.","Brakujący klucz Api."
"Invalid form key.","Brakujący klucz formularza."
"All Items are already in cart.","Wszystkie przedmioty znajdują się już w koszyku."
